"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3355","should be routed to landing page","","Tue Dec 17 06:51:07 PST 2024","passed","Tue Dec 17 06:51:11 PST 2024","","WDIO Demo Application","",""
"","1639","should be routed to landing page","","Tue Dec 17 06:50:32 PST 2024","passed","Tue Dec 17 06:50:34 PST 2024","","WDIO Demo Application","",""
